#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#med_bin_flux: median of binned fluxes. Each bin is +/-2 sigma wide. There are 5 bins on either side of a group of line asked to be fit, beyond the +/-5 sigma window. This is to take into account the wiggles in the spectrum
#mad_bin_flux: median absolute deviation of the above binned fluxes
#MAD_significance: (f_line - med_bin_flux)/mad_bin_flux. Probably should NOT be USED anymore
#EW_3sig_lim_Schneider: 3sigma upper limit for unresolved OR detection criteria for resolved EWs, as determined using Schneider et al. 1993 prescription
#EW_significance: ratio of EWr_fit to (EW_3sig_lim_Schneider/3). Probably use this for SIGNIFICANCE
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means the code was unable to fit the line.
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	MAD_significance	EW_3sig_lim_Schneider	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u	EW_significance	f_SNR
rcs0327-G	SiIII1892	5115.7626	1892.029	EMISSION	-0.1213	0.0863	-0.128	0.0983	1.8798e-18	1.3372e-18	3.0925e-18	3.4014e-18	-0.35652	-0.1104	1.0	0.1141	5116.0464	0.6176	1.147	1.704	0.0003	3.29619565217	1.40577325755
rcs0327-G	CIII]1906	5155.3848	1906.683	EMISSION	-0.8386	0.107	-1.8196	0.1027	1.29e-17	1.6462e-18	-6.0167e-19	2.6615e-18	5.073	-0.1193	1.0	0.6954	5155.32	0.1253	1.301	1.7038	0.0001	21.0880134116	7.83622889078
rcs0327-G	CIII]1908	5160.9304	1908.734	EMISSION	-0.8211	0.1178	-1.728	0.1029	1.2607e-17	1.8083e-18	-6.0167e-19	2.6615e-18	4.963	-0.1177	1.0	0.5714	5160.6441	0.1644	1.5502	1.7037	0.0001	20.9286321155	6.97174141459
rcs0327-G	NII]2140	5786.239	2140.0	EMISSION	-0.0803	0.1	0.1303	0.1288	1.0706e-18	1.3337e-18	2.5262e-19	1.1724e-18	0.69774	-0.1502	1.0	0.0848	5785.918	0.958	1.0204	1.7037	0.0004	1.60386151798	0.802729249456
rcs0327-G	OIII2320	6277.4312	2321.664	EMISSION	-0.0717	1.3473	-0.2469	0.1184	9.1217e-19	1.7133e-17	5.6154e-19	6.6667e-18	0.052594	-0.1662	1.0	0.0699	6277.0876	16.6907	1.1071	1.7037	0.0072	1.29422382671	0.0532405299714
rcs0327-G	CII2323	6284.326	2324.214	EMISSION	-0.3872	8291.8133	-0.1063	0.0874	4.8852e-18	1.0462e-13	5.6154e-19	6.6667e-18	0.64854	-0.1445	1.0	0.2089	6283.9861	30074.2961	1.9996	1.7037	12.9396	8.03875432526	4.66947046454e-05
rcs0327-G	CII2325b	6287.5409	2325.403	EMISSION	-0.0032	5255563.4928	-0.112	0.0719	4.0459e-20	6.6312e-11	5.6154e-19	6.6667e-18	-0.078161	-0.1445	1.0	0.0019	6287.5594	689609675.163	1.7992	1.7039	296554.909	0.0664359861592	6.10130896369e-10
rcs0327-G	CII2325c	6289.4606	2326.113	EMISSION	-0.0574	44097903.8601	-0.0329	0.0593	7.2393e-19	5.564e-10	5.6154e-19	6.6667e-18	0.024358	-0.1445	1.0	0.0334	6289.465	553043517.625	1.8556	1.7039	237754.3643	1.19169550173	1.30109633357e-09
rcs0327-G	CII2325d	6293.6029	2327.645	EMISSION	-0.0701	27954286220.8	0.0	0.0	8.8406e-19	3.5271e-07	5.6154e-19	6.6667e-18	0.048377	-0.1445	1.0	0.04	6293.6029	1.60010179384e+11	1.8901	1.7039	68743377.6989	1.4553633218	2.50647841003e-12
rcs0327-G	CII2328	6296.8286	2328.838	EMISSION	-0.0701	0.0	0.0	0.0	8.8452e-19	0.0	5.6154e-19	6.6667e-18	0.048447	-0.1445	1.0	0.04	6296.8286	0.0	1.8911	1.7039	0.0	1.4553633218	inf
